productName;productSlug;productDescription;sku;price;currencyCode;optionGroups;optionValues
Rainbow visor for GP-R (SC799) / GP-R K (SC799K) helmets;rainbow-visor-for-gp-r-sc799-gp-r-k-sc799k-helmets;;SC0-0197;10000;EUR;Color;Color:RAINBOW SHIELD FOR GP-R / GP-R K
CLEAR VISOR FOR CIRCUIT EVO2 HELMET [SC0-0616-A01];clear-visor-for-circuit-evo2-helmet-sc0-0616-a01;;SC0-0198;2100;EUR;Color;Color:A01]
DARK VISOR FOR CIRCUIT EVO2 HELMET [SC0-0616-A01];dark-visor-for-circuit-evo2-helmet-sc0-0616-a01;;SC0-0199;2100;EUR;Color;Color:A01]
Spare black sun peak for helmets Star (SC607) and Star my2017 (SC607E);spare-black-sun-peak-for-helmets-star-sc607-and-star-my2017-;;SC0-0153;1300;EUR;Color;Color:SUN PEAK BLACK FOR STAR HELMET
Spare couple of front air vents for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-couple-of-front-air-vents-for-full-face-helmets-gp8-ev;;SC0-0166;2000;EUR;Color;Color:FOR GP8 EVO
Spare couple of rear air vents for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-couple-of-rear-air-vents-for-full-face-helmets-gp8-evo;;SC0-0167;2000;EUR;Color;Color:FOR GP8 EVO
Spare white sun peak for helmets Star (SC607) and Star my2017 (SC607E);spare-white-sun-peak-for-helmets-star-sc607-and-star-my2017-;;SC0-0178;1300;EUR;Color;Color:SUN PEAK WHITE FOR STAR HELMET
SPARE TOP AIR VENTS FOR CIRCUIT EVO2 HELMET [SC0-0616-A01];spare-top-air-vents-for-circuit-evo2-helmet-sc0-0616-a01;;SC0-0201;880;EUR;Color;Color:A01]
SPARE CHIN AIR VENT FOR CIRCUIT EVO2 HELMET [SC0-0616-A01];spare-chin-air-vent-for-circuit-evo2-helmet-sc0-0616-a01;;SC0-0202;880;EUR;Color;Color:A01]
Spare clear visor for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-clear-visor-for-full-face-helmets-gp8-evo-gp8-k-evo-sc;;SC0-0160;7200;EUR;Color;Color:CLEAR VISOR FOR GP8 EVO HELMETS
Spare iridium gold visor for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-iridium-gold-visor-for-full-face-helmets-gp8-evo-gp8-k;;SC0-0163;9800;EUR;Color;Color:IRIDIUM GOLD VISOR FOR GP8 EVO HELMETS
Spare visor movement pivot kitfor full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-visor-movement-pivot-kitfor-full-face-helmets-gp8-evo-;;SC0-0164;1550;EUR;Color;Color:PIVOT KIT TO FIX VISOR FOR GP8 EVO
